"predict","Date","Open","High","Low","Close","Adj Close","Volume"
3.6506877575294325,1201132800000,3.7265,3.894,3.7095,3.8835,3.8835,197732000
3.7349353371730345,1201651200000,3.677,3.871,3.6625,3.7105,3.7105,505974000
4.103167153759237,1201737600000,3.4455,3.9435,3.442,3.885,3.885,857718000
3.5740645689345882,1202688000000,3.657,3.798,3.6385,3.7595,3.7595,155274000
3.4227361016036113,1205366400000,3.2555,3.4775,3.2185,3.416,3.416,214150000
3.354981914913978,1205712000000,3.286,3.3895,3.246,3.3265,3.3265,194182000
3.5087429638354024,1205798400000,3.4125,3.5965,3.3795,3.585,3.585,191014000
3.6866315538685512,1207094400000,3.854,3.95,3.806,3.8685,3.8685,171848000
3.526250128624433,1208217600000,3.6485,3.699,3.5325,3.625,3.625,136262000
3.5975550573157093,1208304000000,3.651,3.75,3.647,3.7295,3.7295,134936000
3.789738572302028,1208736000000,4.0015,4.067,3.953,4.009,4.009,186708000
3.9246992375217786,1208908800000,4.015,4.132,3.937,4.05,4.05,385008000
3.818455233406411,1209081600000,3.8905,4.066,3.863,4.043,4.043,189130000
3.6134794597037185,1210550400000,3.65,3.7465,3.589,3.7265,3.7265,144308000
3.739340356384808,1211328000000,4.0185,4.0575,3.875,3.915,3.915,141410000
3.7211780480911116,1213142400000,3.9675,4.0,3.8515,3.864,3.864,117490000
3.6868700391628835,1213228800000,3.901,3.9525,3.7505,3.8075,3.8075,124088000
3.750095676668579,1214438400000,3.955,3.9945,3.8,3.815,3.815,226202000
3.491173925119412,1216684800000,3.3545,3.457,3.294,3.3985,3.3985,175916000
3.8156840524753974,1216944000000,3.9815,4.047,3.906,3.9155,3.9155,183014000
3.7563453544380465,1217203200000,3.8545,3.9155,3.743,3.799,3.799,209604000
3.793799220971792,1217289600000,3.8245,3.94,3.808,3.9105,3.9105,135418000
3.796179448495913,1217376000000,3.918,3.9925,3.821,3.9105,3.9105,151346000
3.7160836706671745,1217808000000,3.7995,3.865,3.7505,3.7855,3.7855,89964000
3.7819528477628594,1217980800000,3.9275,3.9315,3.8365,3.9045,3.9045,128122000
3.9024524236228686,1219104000000,4.1545,4.1755,4.053,4.0645,4.0645,132608000
4.023408137956771,1219363200000,4.2135,4.273,4.1965,4.263,4.263,93556000
3.916807298358009,1219708800000,4.137,4.156,4.0625,4.088,4.088,87484000
3.888012672755643,1219968000000,4.145,4.145,4.025,4.0405,4.0405,94574000
3.837335877084321,1221436800000,3.843,3.994,3.815,3.867,3.867,179616000
4.034362667236294,1221782400000,4.006,4.3385,3.825,4.05,4.05,295444000
3.655291344562933,1222128000000,3.7895,3.8145,3.5385,3.588,3.588,171884000
3.615404855824174,1222214400000,3.615,3.6825,3.447,3.498,3.498,187448000
3.5302237183313707,1222905600000,3.3815,3.448,3.2705,3.368,3.368,174522000
3.2914442618423294,1223510400000,3.0985,3.175,2.8,2.8,2.8,278618000
3.441576792934846,1224720000000,2.1685,2.5455,2.1655,2.516,2.516,652038000
3.214216028034407,1224806400000,2.2375,2.616,2.225,2.448,2.448,392118000
3.196777603084655,1225670400000,2.8175,2.8625,2.751,2.7885,2.7885,143402000
3.0054261641505136,1226275200000,2.499,2.534,2.343,2.423,2.423,179298000
2.9176189211032835,1226448000000,2.1995,2.272,2.045,2.078,2.078,295372000
2.7202977805651685,1227052800000,1.8985,1.95,1.7875,1.792,1.792,250422000
2.9576578363140698,1227484800000,1.9395,2.172,1.935,2.125,2.125,290994000
2.900939975290285,1227571200000,2.1045,2.1445,1.9805,2.1095,2.1095,260300000
2.970540645867544,1227657600000,2.0435,2.2,2.0145,2.198,2.198,268794000
3.1133546108938788,1228435200000,2.2945,2.4245,2.165,2.413,2.413,292176000
3.0483437851455477,1228867200000,2.573,2.575,2.417,2.485,2.485,155076000
3.018381596868579,1228953600000,2.4665,2.5245,2.4085,2.4125,2.4125,151672000
3.1386336322574238,1229558400000,2.65,2.7425,2.56,2.604,2.604,150362000
3.119793601868828,1230249600000,2.6895,2.6975,2.5775,2.589,2.589,136946000
3.047110861054918,1230508800000,2.5715,2.5885,2.428,2.47,2.47,130158000
3.119505637807414,1230681600000,2.537,2.5845,2.4955,2.564,2.564,155844000
3.1437600517976634,1232064000000,2.59,2.6165,2.4765,2.5795,2.5795,165164000
3.0869714959633683,1232928000000,2.509,2.5445,2.426,2.4815,2.4815,143114000
3.286252981458226,1233187200000,2.498,2.5925,2.457,2.5,2.5,359336000
3.5300245980077065,1233705600000,3.169,3.172,3.0415,3.053,3.053,274526000
3.5562443939572574,1234310400000,3.155,3.245,3.1125,3.2175,3.2175,166946000
3.4808515805565747,1235001600000,3.142,3.209,3.0835,3.0975,3.0975,135378000
3.6348522027749226,1235692800000,3.063,3.254,3.047,3.2395,3.2395,229766000
3.5558327742637985,1236556800000,3.11,3.2015,3.0075,3.0245,3.0245,271228000
3.7920046909411056,1236729600000,3.312,3.4685,3.2635,3.427,3.427,277634000
3.777668665007674,1236816000000,3.4175,3.4935,3.3625,3.479,3.479,226978000
3.766080271931557,1237420800000,3.57,3.5955,3.462,3.505,3.505,176382000
3.8647056887617524,1238025600000,3.6735,3.749,3.632,3.6845,3.6845,133154000
3.7863490314641766,1238112000000,3.5805,3.6145,3.505,3.526,3.526,171376000
3.811495354592246,1238371200000,3.52,3.5835,3.4875,3.572,3.572,167462000
3.998053134981582,1238716800000,3.821,3.916,3.775,3.9085,3.9085,116198000
3.992598967001477,1238976000000,3.863,3.918,3.8,3.8995,3.8995,115026000
4.028905228514297,1239580800000,3.992,3.9985,3.8925,3.947,3.947,124244000
3.934549211808644,1239753600000,3.775,3.7905,3.6755,3.7355,3.7355,188256000
4.064058750685497,1242000000000,3.84,3.9925,3.8005,3.9305,3.9305,137446000
3.944313083190167,1242172800000,3.8125,3.8325,3.7005,3.7095,3.7095,175410000
4.276818445163201,1243814400000,3.9105,4.24,3.8745,4.1525,4.1525,215930000
4.298923400899071,1244678400000,4.315,4.3745,4.2525,4.2845,4.2845,100194000
4.231964040993205,1246233600000,4.1935,4.21,4.1205,4.1515,4.1515,125406000
4.09109381848279,1247011200000,3.823,3.8965,3.785,3.868,3.868,170814000
4.205029729479882,1247529600000,4.074,4.121,4.021,4.0975,4.0975,90872000
4.352330081936337,1248652800000,4.312,4.3245,4.178,4.212,4.212,225586000
4.324133228031805,1250121600000,4.286,4.3185,4.2035,4.23,4.23,114248000
4.252554438988547,1250553600000,4.0705,4.1345,4.0395,4.106,4.106,117688000
4.607257056215012,1254096000000,4.552,4.6405,4.53,4.6105,4.6105,70160000
4.576267451470152,1254355200000,4.625,4.645,4.5185,4.552,4.552,132902000
4.68729741967055,1254873600000,4.575,4.724,4.5575,4.6985,4.6985,148902000
4.721447792010835,1255046400000,4.75,4.7975,4.713,4.7855,4.7855,93880000
4.787542041457577,1256169600000,4.683,4.705,4.585,4.6725,4.6725,330370000
6.112224795839033,1256256000000,5.5525,5.9825,5.531,5.9245,5.9245,1166116000
5.877578089587658,1256515200000,5.9605,6.284,5.9245,6.232,6.232,645424000
5.7053325001129735,1256601600000,6.1465,6.213,5.971,6.1035,6.1035,406084000
5.689291981179316,1256688000000,6.0785,6.256,6.038,6.082,6.082,337754000
5.551200292226262,1256860800000,6.0985,6.145,5.9105,5.9405,5.9405,266244000
5.963258754606379,1258070400000,6.558,6.6495,6.4875,6.6485,6.6485,147536000
5.979569400127893,1258934400000,6.5525,6.65,6.55,6.65,6.65,137562000
